#loc_id	ags	ascii	name	lat	lon	amt	plz	vorwahl	einwohner	flaeche	kz	typ	level	of	invalid
106	A	OESTERREICH	Österreich								A		2	104	
124	1	BURGENLAND	Burgenland	47.5	16.4166667				287416			Bundesland	3	106	
60000	101	EISENSTADT	Eisenstadt	47.8452778	16.5247223				12061	42.9098	E	Bezirk	5	124	
60001	10101	EISENSTADT	Eisenstadt	47.8452778	16.5247223		7000		12061	42.9098		Gemeinde	6	60000	
29237	1010101	EISENSTADT	Eisenstadt	47.8452778	16.5247223		7000		7462			Ort	7	60001	
60002	1010102	KLEINHOEFLEIN	Kleinhöflein im Burgenland	47.841944	16.5047224		7000		1870			Ort	7	60001	
60003	1010103	SANKT GEORGEN	Sankt Georgen am Leithagebirge	47.855834	16.5525		7000		2002			Ort	7	60001	
60004	102	RUST	Rust	47.800556	16.676112				1799	20.0096	E	Bezirk	5	124	
60005	10201	RUST	Rust	47.800556	16.676112		7071		1799	20.0096		Gemeinde	6	60004	
60006	1020101	RUST	Rust	47.800556	16.676112		7071		1714			Ort	7	60005	
60007	103	EISENSTADT-UMGEBUNG	Eisenstadt-Umgebung	47.8333333	16.5833333				39265	453.1419	EU	Bezirk	5	124	
60008	10301	BREITENBRUNN	Breitenbrunn am Neusiedler See	47.9430556	16.7366668		7091		1757	25.7511		Gemeinde	6	60007	
60009	1030101	BREITENBRUNN	Breitenbrunn	47.9430556	16.7366668		7091		1702			Ort	7	60008	
60010	10302	DONNERSKIRCHEN	Donnerskirchen	47.8975	16.642223		7082		1698	33.8748		Gemeinde	6	60007	
29200	1030201	DONNERSKIRCHEN	Donnerskirchen	47.8975	16.642223		7082		1649			Ort	7	60010	
60011	10303	GROSSHOEFLEIN	Großhöflein	47.8344	16.4813889		7051		1821	14.2528		Gemeinde	6	60007	
60012	1030301	GROSSHOEFLEIN	Großhöflein	47.8344	16.4813889		7051		1853			Ort	7	60011	
60013	10304	HORNSTEIN	Hornstein	47.880835	16.445833		2491,7053		2627	37.0699		Gemeinde	6	60007	
60014	1030401	HORNSTEIN	Hornstein	47.880835	16.445833		2491,7053		2640			Ort	7	60013	
60015	10305	KLINGENBACH	Klingenbach	47.753889	16.53889		7013		1169	4.8246		Gemeinde	6	60007	
29599	1030501	KLINGENBACH	Klingenbach	47.753889	16.53889		7013		1189			Ort	7	60015	
60016	10306	LEITHAPRODERSDORF	Leithaprodersdorf	47.936667	16.477778		2443		1172	18.9467		Gemeinde	6	60007	
60017	1030601	LEITHAPRODERSDORF	Leithaprodersdorf	47.936667	16.477778		2443		1181			Ort	7	60016	
60018	10307	MOERBISCH	Mörbisch am See	47.7533	16.6675		7072		2347	28.051		Gemeinde	6	60007	
29807	1030701	MOERBISCH	Mörbisch am See	47.7533	16.6675		7072		2323			Ort	7	60018	
60019	10308	MUELLENDORF	Müllendorf	47.843889	16.458889		7052		1270	12.7954		Gemeinde	6	60007	
29814	1030801	MUELLENDORF	Müllendorf	47.843889	16.458889		7052		1229			Ort	7	60019	
60020	10309	NEUFELD	Neufeld an der Leitha	47.866944	16.377222		2491		3033	4.2419		Gemeinde	6	60007	
29841	1030901	NEUFELD	Neufeld an der Leitha	47.866944	16.377222		2491		2948			Ort	7	60020	
